id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness,loudness_db,popularity,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,0.12,-4.5,78,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04,0.08,-14.2,62,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.06,0.18,-3.8,71,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.92,0.03,0.06,-16.5,55,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.08,0.10,-3.2,85,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.96,0.02,0.05,-18.0,44,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.72,0.05,0.22,-12.8,58,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.78,0.04,0.07,-6.5,67,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03,0.06,-15.1,60,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.04,0.06,0.14,-5.8,73,0
11,Golden Hour,Sable Keys,r&b,romantic,0.55,96,0.78,0.71,0.44,0.05,0.12,0.11,-7.2,76,0
12,Concrete Jungle,Block Theory,hip-hop,confident,0.80,98,0.62,0.85,0.12,0.02,0.38,0.09,-5.1,82,1
13,Velvet Strings,Clara Voss,classical,melancholic,0.22,68,0.38,0.20,0.97,0.99,0.03,0.28,-20.4,41,0
14,Desert Wind,The Dusty Trail,country,nostalgic,0.48,104,0.73,0.59,0.82,0.08,0.07,0.32,-9.6,64,0
15,Mosh Pit Anthem,Iron Circuit,metal,angry,0.96,176,0.31,0.55,0.04,0.14,0.09,0.35,-2.5,68,0
16,Baila Conmigo,Rio Sol,latin,energetic,0.87,120,0.89,0.91,0.16,0.03,0.11,0.19,-4.0,88,0
17,Morning Fog Walk,Fern & Hollow,folk,peaceful,0.30,74,0.66,0.45,0.93,0.45,0.05,0.25,-13.5,49,0
18,Broken Neon Sign,Static Moth,indie rock,sad,0.61,108,0.27,0.52,0.38,0.08,0.06,0.16,-7.8,65,0
19,Drop the Bass,Hyper Drive,edm,euphoric,0.95,140,0.75,0.94,0.03,0.82,0.04,0.08,-3.5,91,0
20,Rainy Season,Teal Horizon,soul,melancholic,0.44,85,0.52,0.63,0.76,0.12,0.08,0.20,-10.2,57,0
